sport_type,day_of_week,start_hour,price,month,is_weekend,previous_booking_count,field_capacity,demand_level
bóng đá,3,7,560000,11,0,9,18,MEDIUM
tennis,6,19,360000,1,1,19,4,HIGH
cầu lông,4,21,220000,7,0,17,8,MEDIUM
cầu lông,6,6,160000,8,1,9,6,MEDIUM
pickleball,1,19,220000,12,0,13,4,MEDIUM
cầu lông,3,9,160000,6,0,8,8,LOW
bóng rổ,5,19,500000,5,1,8,14,MEDIUM
pickleball,2,19,320000,6,0,19,4,HIGH
cầu lông,4,17,240000,7,0,8,4,LOW
bóng đá,0,10,700000,5,0,11,14,MEDIUM
tennis,0,21,450000,7,0,13,4,MEDIUM
tennis,1,19,440000,12,0,15,6,MEDIUM
bóng rổ,3,21,520000,6,0,11,16,MEDIUM
bóng đá,2,19,590000,1,0,15,14,MEDIUM
pickleball,3,7,200000,6,0,9,6,LOW
tennis,4,20,420000,10,0,3,4,LOW
cầu lông,6,6,210000,4,1,11,6,LOW
pickleball,3,20,250000,5,0,12,2,MEDIUM
bóng đá,1,14,830000,9,0,13,12,MEDIUM
cầu lông,3,17,240000,2,0,14,4,MEDIUM
cầu lông,3,10,220000,1,0,8,2,LOW
cầu lông,6,17,220000,11,1,19,2,HIGH
cầu lông,2,20,230000,3,0,10,2,LOW
cầu lông,6,21,250000,6,1,19,4,HIGH
bóng rổ,5,18,470000,4,1,24,10,HIGH
pickleball,5,7,250000,2,1,9,4,MEDIUM
bóng đá,3,15,570000,11,0,5,12,LOW
cầu lông,1,6,180000,5,0,3,2,LOW
tennis,2,11,360000,6,0,7,8,LOW
bóng đá,4,9,570000,1,0,17,16,MEDIUM
bóng rổ,0,17,360000,6,0,14,12,HIGH
bóng rổ,3,19,550000,2,0,16,12,HIGH
pickleball,3,19,280000,1,0,12,4,MEDIUM
cầu lông,4,8,160000,4,0,2,4,LOW
tennis,5,20,350000,10,1,15,4,MEDIUM
bóng đá,5,21,790000,7,1,26,14,HIGH
bóng rổ,1,18,490000,2,0,16,12,HIGH
pickleball,5,18,300000,4,1,17,4,HIGH
tennis,5,15,420000,9,1,7,8,LOW
pickleball,1,10,210000,3,0,16,4,MEDIUM
pickleball,5,18,260000,12,1,23,4,HIGH
bóng rổ,2,18,400000,5,0,20,12,HIGH
bóng đá,2,18,800000,4,0,12,12,MEDIUM
bóng đá,3,9,590000,3,0,11,12,LOW
pickleball,0,16,220000,3,0,10,4,LOW
bóng đá,5,18,670000,11,1,19,14,HIGH
bóng rổ,1,13,510000,7,0,9,14,LOW
cầu lông,0,11,180000,6,0,14,4,MEDIUM
pickleball,0,21,230000,2,0,9,4,MEDIUM
bóng đá,2,20,710000,2,0,13,18,MEDIUM
bóng đá,2,19,610000,11,0,19,18,HIGH
cầu lông,3,14,230000,1,0,8,4,LOW
cầu lông,1,9,220000,10,0,12,2,LOW
cầu lông,2,19,240000,11,0,15,6,HIGH
cầu lông,2,18,190000,11,0,13,4,MEDIUM
cầu lông,4,16,170000,5,0,5,6,LOW
pickleball,1,18,220000,10,0,8,4,MEDIUM
bóng rổ,6,10,550000,11,1,12,12,MEDIUM
bóng rổ,4,21,370000,1,0,11,12,MEDIUM
pickleball,6,16,240000,8,1,20,8,HIGH
bóng rổ,3,11,370000,10,0,14,12,MEDIUM
pickleball,3,6,240000,3,0,9,4,LOW
pickleball,4,9,290000,8,0,13,2,MEDIUM
bóng đá,4,9,670000,10,0,10,14,LOW
pickleball,4,17,320000,1,0,8,8,MEDIUM
cầu lông,1,7,150000,6,0,13,4,MEDIUM
bóng đá,3,16,720000,3,0,14,12,MEDIUM
bóng đá,0,20,830000,2,0,19,12,HIGH
tennis,0,19,390000,8,0,12,4,LOW
bóng đá,4,19,620000,3,0,10,12,MEDIUM
cầu lông,1,9,210000,9,0,12,8,MEDIUM
bóng đá,3,18,700000,1,0,15,14,MEDIUM
bóng rổ,5,11,470000,2,1,11,12,LOW
bóng đá,2,10,660000,1,0,8,16,LOW
bóng đá,3,17,630000,5,0,12,14,MEDIUM
bóng đá,0,9,520000,6,0,10,14,MEDIUM
bóng rổ,2,20,380000,6,0,20,12,HIGH
bóng rổ,2,20,430000,2,0,4,12,LOW
tennis,6,21,500000,12,1,14,4,MEDIUM
cầu lông,5,8,160000,8,1,11,6,MEDIUM
cầu lông,6,16,180000,9,1,18,4,HIGH
bóng rổ,2,18,430000,6,0,14,10,HIGH
bóng đá,2,15,750000,7,0,9,16,LOW
pickleball,6,17,330000,12,1,19,8,HIGH
bóng rổ,2,7,490000,12,0,7,10,LOW
pickleball,6,17,310000,5,1,14,2,HIGH
pickleball,3,20,310000,1,0,10,8,LOW
pickleball,3,17,260000,6,0,13,2,HIGH
pickleball,0,13,240000,1,0,9,4,LOW
bóng đá,3,9,810000,2,0,9,14,LOW
pickleball,2,18,260000,3,0,18,2,HIGH
bóng đá,1,21,790000,7,0,26,14,HIGH
bóng đá,2,19,830000,4,0,10,18,MEDIUM
cầu lông,0,17,160000,11,0,12,4,MEDIUM
bóng đá,6,21,910000,7,1,22,14,HIGH
pickleball,4,19,310000,2,0,14,4,MEDIUM
cầu lông,6,15,160000,6,1,11,4,MEDIUM
tennis,5,21,360000,6,1,16,8,HIGH
bóng đá,1,21,580000,5,0,7,14,MEDIUM
bóng rổ,2,17,530000,11,0,14,16,MEDIUM
pickleball,4,8,270000,2,0,11,4,LOW
pickleball,5,8,260000,3,1,12,8,LOW
cầu lông,3,15,150000,7,0,8,4,LOW
bóng rổ,5,15,480000,10,1,12,12,MEDIUM
bóng rổ,2,15,460000,12,0,8,16,LOW
pickleball,5,8,220000,4,1,20,4,HIGH
pickleball,2,18,260000,9,0,9,6,MEDIUM
bóng đá,1,8,530000,4,0,11,14,MEDIUM
tennis,3,16,420000,2,0,6,6,LOW
bóng đá,2,16,580000,2,0,9,14,LOW
cầu lông,5,20,170000,8,1,21,4,HIGH
cầu lông,3,15,170000,6,0,14,8,MEDIUM
bóng đá,3,7,780000,3,0,18,14,MEDIUM
bóng đá,5,19,860000,3,1,13,14,MEDIUM
pickleball,1,15,280000,7,0,9,4,LOW
cầu lông,5,10,220000,11,1,9,6,LOW
tennis,0,9,410000,2,0,10,4,LOW
bóng đá,2,10,600000,6,0,8,14,LOW
tennis,5,11,470000,8,1,8,4,LOW
bóng đá,2,15,580000,11,0,13,14,MEDIUM
pickleball,6,7,270000,1,1,17,4,HIGH
bóng đá,0,21,840000,10,0,18,14,MEDIUM
pickleball,3,13,210000,2,0,11,6,LOW
pickleball,0,20,320000,9,0,15,4,MEDIUM
pickleball,0,19,300000,2,0,18,4,MEDIUM
bóng rổ,2,19,470000,8,0,15,12,HIGH
pickleball,0,15,210000,10,0,10,2,LOW
pickleball,3,18,260000,9,0,16,2,HIGH
bóng đá,3,19,600000,1,0,14,18,MEDIUM
pickleball,4,14,310000,12,0,4,2,LOW
pickleball,0,19,290000,9,0,15,4,MEDIUM
cầu lông,1,9,160000,6,0,10,4,LOW
bóng đá,4,13,710000,12,0,12,14,LOW
bóng đá,2,18,700000,9,0,17,12,MEDIUM
bóng đá,2,19,740000,4,0,12,14,MEDIUM
cầu lông,3,18,200000,6,0,20,4,HIGH
bóng đá,4,16,660000,5,0,18,14,HIGH
cầu lông,4,10,180000,3,0,1,4,LOW
bóng đá,5,9,740000,3,1,22,14,HIGH
bóng rổ,2,19,540000,5,0,13,12,MEDIUM
bóng đá,6,11,710000,5,1,23,14,HIGH
cầu lông,6,21,190000,6,1,21,4,HIGH
cầu lông,3,15,170000,7,0,10,4,LOW
bóng rổ,6,7,440000,4,1,7,14,MEDIUM
tennis,3,6,330000,8,0,9,8,MEDIUM
cầu lông,5,7,150000,3,1,10,4,MEDIUM
bóng rổ,3,19,460000,8,0,15,14,MEDIUM
bóng đá,1,10,560000,1,0,11,12,MEDIUM
bóng đá,5,6,680000,8,1,17,18,HIGH
bóng đá,4,8,610000,9,0,11,18,LOW
cầu lông,6,10,230000,12,1,15,4,MEDIUM
pickleball,5,18,300000,3,1,24,4,HIGH
bóng đá,6,14,780000,9,1,7,16,LOW
cầu lông,0,17,240000,11,0,17,4,MEDIUM
pickleball,4,9,240000,9,0,5,4,LOW
bóng đá,2,18,590000,1,0,14,14,HIGH
cầu lông,0,19,210000,4,0,11,4,MEDIUM
cầu lông,5,15,200000,5,1,20,4,HIGH
tennis,5,20,410000,7,1,30,4,HIGH
bóng đá,5,21,750000,5,1,25,12,HIGH
bóng đá,6,21,620000,3,1,15,12,HIGH
pickleball,5,21,320000,7,1,14,2,HIGH
pickleball,3,17,250000,11,0,11,4,MEDIUM
bóng rổ,3,18,430000,3,0,9,12,LOW
cầu lông,5,17,210000,2,1,14,8,HIGH
bóng đá,4,9,740000,9,0,12,16,MEDIUM
bóng đá,6,17,600000,2,1,14,14,HIGH
bóng đá,1,8,520000,1,0,9,14,LOW
cầu lông,1,14,190000,6,0,7,4,LOW
tennis,0,20,450000,10,0,15,6,MEDIUM
pickleball,5,21,300000,6,1,21,2,HIGH
tennis,5,18,380000,10,1,18,8,HIGH
cầu lông,2,15,170000,6,0,10,4,LOW
cầu lông,3,11,190000,10,0,11,4,LOW
bóng rổ,5,7,490000,3,1,11,14,LOW
pickleball,1,9,200000,11,0,11,4,LOW
cầu lông,6,16,230000,4,1,11,4,MEDIUM
tennis,4,7,340000,1,0,7,8,LOW
bóng đá,2,14,570000,11,0,9,12,LOW
bóng rổ,2,14,450000,5,0,13,10,MEDIUM
cầu lông,0,20,220000,1,0,15,6,MEDIUM
pickleball,0,17,230000,1,0,15,8,HIGH
bóng đá,2,20,650000,9,0,18,12,HIGH
tennis,4,13,280000,8,0,3,8,LOW
tennis,5,16,350000,3,1,10,4,MEDIUM
tennis,5,20,400000,6,1,4,6,LOW
pickleball,0,10,210000,4,0,11,4,MEDIUM
tennis,6,19,480000,4,1,7,2,LOW
bóng đá,0,10,770000,7,0,13,18,MEDIUM
cầu lông,6,9,190000,12,1,16,2,HIGH
bóng rổ,6,15,450000,10,1,10,12,MEDIUM
cầu lông,5,14,210000,4,1,13,8,LOW
bóng đá,5,7,790000,7,1,8,12,LOW
bóng đá,2,21,600000,8,0,13,14,HIGH
tennis,3,20,410000,9,0,14,6,MEDIUM
cầu lông,3,18,160000,12,0,14,4,MEDIUM
bóng đá,1,8,540000,11,0,8,18,LOW
tennis,0,18,460000,1,0,12,8,LOW
cầu lông,5,21,200000,12,1,17,6,HIGH
pickleball,3,10,260000,2,0,12,6,MEDIUM
cầu lông,0,18,170000,12,0,7,8,LOW
pickleball,2,17,310000,8,0,12,2,MEDIUM
cầu lông,5,9,230000,4,1,8,2,LOW
bóng đá,6,14,790000,2,1,18,16,MEDIUM
cầu lông,5,20,210000,3,1,21,2,HIGH
pickleball,4,7,190000,6,0,14,4,MEDIUM
cầu lông,6,16,160000,10,1,11,4,LOW
pickleball,2,10,260000,2,0,12,4,LOW
pickleball,4,19,270000,11,0,12,4,MEDIUM
cầu lông,3,11,160000,5,0,12,4,MEDIUM
bóng rổ,3,19,440000,8,0,13,14,MEDIUM
bóng đá,3,21,740000,8,0,19,12,HIGH
pickleball,4,20,210000,12,0,7,2,LOW
cầu lông,1,16,180000,2,0,10,8,LOW
tennis,4,9,440000,6,0,10,2,LOW
pickleball,2,21,270000,11,0,14,4,MEDIUM
bóng đá,2,16,680000,12,0,16,12,MEDIUM
cầu lông,4,19,220000,3,0,9,8,MEDIUM
bóng đá,4,19,830000,10,0,19,18,HIGH
cầu lông,1,19,190000,10,0,12,4,MEDIUM
bóng đá,3,15,670000,4,0,10,18,LOW
pickleball,4,17,260000,1,0,13,4,MEDIUM
bóng rổ,2,16,380000,3,0,10,12,LOW
pickleball,2,20,210000,5,0,10,8,MEDIUM
bóng rổ,2,15,360000,9,0,9,12,LOW
bóng đá,2,21,670000,7,0,16,16,HIGH
tennis,2,9,330000,11,0,2,6,LOW
cầu lông,3,16,210000,4,0,8,4,LOW
cầu lông,1,10,230000,12,0,13,2,MEDIUM
bóng rổ,0,21,520000,11,0,17,12,MEDIUM
cầu lông,2,9,220000,2,0,7,4,LOW
pickleball,4,19,250000,1,0,15,4,MEDIUM
pickleball,4,7,290000,1,0,7,4,LOW
bóng đá,3,17,700000,1,0,13,12,MEDIUM
bóng rổ,6,21,550000,8,1,16,10,MEDIUM
bóng đá,6,16,630000,6,1,17,14,HIGH
tennis,2,16,420000,5,0,4,4,LOW
cầu lông,1,19,240000,6,0,12,4,MEDIUM
tennis,4,15,350000,1,0,4,4,LOW
pickleball,1,18,240000,1,0,13,8,MEDIUM
bóng đá,0,17,670000,2,0,9,14,MEDIUM
bóng đá,2,21,610000,1,0,10,18,HIGH
bóng rổ,6,8,480000,7,1,23,16,HIGH
cầu lông,3,9,150000,12,0,11,6,MEDIUM
bóng đá,1,21,750000,4,0,17,16,HIGH
bóng rổ,3,18,480000,5,0,14,14,MEDIUM
cầu lông,6,8,240000,9,1,9,4,LOW
pickleball,6,13,300000,3,1,11,2,MEDIUM
bóng đá,6,9,650000,2,1,20,16,HIGH
bóng đá,2,20,640000,3,0,9,18,MEDIUM
bóng đá,3,9,550000,2,0,11,14,MEDIUM
cầu lông,2,18,230000,10,0,15,4,MEDIUM
bóng đá,4,7,690000,9,0,8,14,LOW
bóng rổ,4,19,480000,10,0,10,10,LOW
bóng đá,3,8,590000,11,0,15,18,MEDIUM
bóng đá,2,17,800000,10,0,9,14,MEDIUM
tennis,2,11,340000,6,0,8,6,LOW
bóng đá,5,18,610000,11,1,17,14,HIGH
pickleball,1,18,320000,2,0,15,6,MEDIUM
cầu lông,2,21,240000,9,0,12,6,MEDIUM
bóng đá,1,19,760000,10,0,16,14,HIGH
bóng đá,3,17,850000,4,0,14,14,MEDIUM
cầu lông,2,19,240000,8,0,13,4,MEDIUM
tennis,0,20,420000,11,0,9,6,MEDIUM
bóng đá,1,19,630000,3,0,18,14,HIGH
cầu lông,5,20,170000,12,1,27,4,HIGH
bóng đá,0,21,780000,2,0,18,14,MEDIUM
bóng rổ,3,21,510000,3,0,10,12,MEDIUM
bóng rổ,4,18,400000,2,0,9,10,MEDIUM
cầu lông,5,10,160000,6,1,9,4,LOW
cầu lông,4,8,160000,3,0,7,8,LOW
bóng đá,1,18,840000,10,0,18,14,HIGH
bóng rổ,1,8,520000,4,0,3,12,LOW
pickleball,0,9,290000,12,0,12,6,LOW
cầu lông,2,11,170000,8,0,6,8,LOW
bóng đá,1,18,740000,7,0,18,14,HIGH
pickleball,0,20,320000,7,0,21,6,HIGH
bóng đá,1,8,730000,1,0,6,18,LOW
bóng đá,5,14,800000,11,1,13,16,MEDIUM
tennis,1,19,430000,2,0,12,4,LOW
bóng đá,3,8,820000,2,0,7,14,LOW
cầu lông,5,20,210000,4,1,13,4,HIGH
pickleball,2,21,270000,4,0,14,4,MEDIUM
tennis,0,13,410000,2,0,2,4,LOW
cầu lông,0,9,140000,1,0,13,4,MEDIUM
bóng đá,1,18,590000,3,0,17,12,HIGH
tennis,3,16,330000,9,0,7,4,LOW
bóng đá,1,17,760000,1,0,23,14,HIGH
tennis,2,8,390000,11,0,4,2,LOW
cầu lông,0,17,180000,11,0,11,4,MEDIUM
cầu lông,2,13,150000,7,0,11,8,LOW
cầu lông,1,14,180000,6,0,12,2,MEDIUM
pickleball,6,17,330000,1,1,16,2,HIGH
pickleball,0,20,230000,4,0,19,4,HIGH
pickleball,4,11,300000,7,0,6,4,LOW
tennis,6,8,420000,12,1,12,8,MEDIUM
bóng đá,0,10,530000,6,0,13,14,MEDIUM
pickleball,3,18,270000,5,0,13,6,MEDIUM
pickleball,0,17,270000,6,0,11,6,MEDIUM
cầu lông,3,17,160000,1,0,10,8,MEDIUM
cầu lông,2,19,220000,1,0,11,6,MEDIUM
bóng đá,0,21,820000,1,0,22,14,HIGH
bóng đá,3,19,660000,5,0,20,14,HIGH
pickleball,5,16,270000,6,1,14,6,MEDIUM
pickleball,3,17,310000,3,0,12,8,LOW
tennis,1,18,400000,9,0,13,4,MEDIUM
pickleball,4,8,280000,7,0,13,4,MEDIUM
pickleball,6,17,280000,5,1,20,4,HIGH
bóng đá,5,18,790000,7,1,27,18,HIGH
cầu lông,5,17,200000,10,1,21,6,HIGH
bóng đá,3,19,560000,12,0,15,12,MEDIUM
bóng đá,4,19,610000,9,0,12,14,MEDIUM
cầu lông,2,10,200000,7,0,13,8,MEDIUM
tennis,4,20,360000,7,0,11,4,MEDIUM
cầu lông,5,14,170000,11,1,11,4,MEDIUM
bóng đá,0,19,860000,10,0,14,18,MEDIUM
cầu lông,5,13,220000,9,1,15,6,MEDIUM
bóng đá,3,20,600000,12,0,15,12,HIGH
pickleball,3,9,230000,10,0,10,2,LOW
bóng rổ,1,16,340000,4,0,11,12,LOW
tennis,5,11,430000,7,1,7,4,LOW
cầu lông,1,20,180000,3,0,10,4,MEDIUM
bóng đá,1,15,580000,7,0,17,12,HIGH
pickleball,1,11,280000,9,0,8,6,LOW
bóng rổ,6,7,440000,4,1,13,12,LOW
bóng đá,5,14,660000,2,1,23,16,HIGH
bóng đá,0,19,570000,10,0,14,14,MEDIUM
cầu lông,5,11,150000,11,1,13,2,MEDIUM
bóng rổ,1,19,570000,10,0,16,12,MEDIUM
pickleball,6,19,280000,10,1,16,6,HIGH
pickleball,5,21,310000,10,1,13,6,MEDIUM
pickleball,3,17,300000,7,0,11,6,MEDIUM
bóng đá,3,17,590000,1,0,13,18,MEDIUM
cầu lông,1,16,160000,10,0,7,6,LOW
cầu lông,0,18,200000,3,0,16,4,HIGH
bóng đá,5,21,760000,10,1,26,16,HIGH
bóng đá,6,18,600000,12,1,15,14,HIGH
bóng rổ,0,18,420000,8,0,16,10,MEDIUM
cầu lông,0,6,180000,7,0,9,4,LOW
bóng đá,1,20,730000,9,0,19,14,HIGH
cầu lông,0,14,210000,4,0,9,4,LOW
bóng rổ,6,18,530000,8,1,16,12,HIGH
cầu lông,1,14,200000,7,0,8,4,LOW
pickleball,3,17,260000,4,0,10,2,LOW
bóng đá,2,21,870000,10,0,14,12,MEDIUM
cầu lông,2,20,240000,9,0,15,4,MEDIUM
pickleball,0,11,200000,10,0,9,8,LOW
tennis,1,15,400000,7,0,12,6,LOW
pickleball,3,20,270000,3,0,10,4,MEDIUM
bóng đá,0,17,570000,11,0,17,14,HIGH
cầu lông,3,16,160000,4,0,4,4,LOW
bóng đá,5,20,900000,2,1,16,14,MEDIUM
bóng đá,6,21,720000,1,1,28,14,HIGH
bóng đá,0,11,670000,9,0,9,14,LOW
bóng đá,1,9,530000,8,0,12,18,MEDIUM
bóng đá,4,16,650000,2,0,12,12,LOW
cầu lông,4,10,150000,3,0,8,2,MEDIUM
cầu lông,0,18,180000,3,0,11,4,MEDIUM
cầu lông,3,9,180000,10,0,7,2,LOW
tennis,6,10,450000,3,1,14,4,MEDIUM
cầu lông,2,9,230000,7,0,13,6,MEDIUM
tennis,3,18,330000,12,0,7,2,LOW
tennis,5,9,380000,10,1,8,8,LOW
bóng đá,2,13,530000,9,0,11,16,MEDIUM
tennis,1,9,440000,7,0,9,8,LOW
tennis,0,20,460000,9,0,11,8,LOW
tennis,5,17,410000,4,1,18,4,HIGH
tennis,4,15,370000,11,0,11,2,LOW
tennis,5,17,330000,8,1,14,4,HIGH
cầu lông,0,11,180000,5,0,6,4,LOW
bóng đá,1,15,510000,7,0,14,18,MEDIUM
cầu lông,4,21,200000,6,0,11,4,MEDIUM
bóng rổ,4,19,460000,9,0,7,16,LOW
tennis,4,9,430000,2,0,4,8,LOW
bóng đá,1,9,770000,2,0,6,18,LOW
bóng rổ,0,19,460000,9,0,8,14,LOW
cầu lông,1,8,170000,1,0,7,4,LOW
bóng đá,3,18,640000,11,0,11,16,MEDIUM
tennis,6,7,460000,5,1,7,6,LOW
bóng rổ,4,19,510000,10,0,12,12,LOW
bóng đá,1,19,620000,12,0,14,14,HIGH
pickleball,4,7,240000,1,0,18,8,MEDIUM
tennis,5,14,310000,12,1,9,2,MEDIUM
tennis,2,16,300000,5,0,7,4,LOW
pickleball,3,17,300000,1,0,17,4,HIGH
bóng rổ,3,19,530000,12,0,17,16,HIGH
bóng đá,3,17,830000,10,0,8,14,MEDIUM
bóng đá,6,17,630000,1,1,23,16,HIGH
tennis,3,19,460000,5,0,16,8,MEDIUM
bóng đá,4,7,820000,8,0,17,14,MEDIUM
tennis,2,17,400000,9,0,13,4,MEDIUM
bóng đá,5,13,590000,6,1,10,18,MEDIUM
tennis,4,20,390000,9,0,9,4,LOW
pickleball,3,9,280000,4,0,10,6,MEDIUM
bóng đá,5,16,660000,8,1,16,14,HIGH
bóng đá,3,7,590000,5,0,15,18,MEDIUM
bóng đá,5,17,790000,4,1,16,12,HIGH
bóng rổ,1,9,450000,5,0,6,10,LOW
bóng đá,3,13,790000,4,0,3,14,LOW
bóng đá,6,15,550000,6,1,15,12,MEDIUM
bóng rổ,5,17,500000,11,1,14,12,MEDIUM
pickleball,5,15,220000,6,1,9,4,LOW
bóng đá,4,11,670000,2,0,12,18,LOW
cầu lông,6,19,190000,3,1,17,4,HIGH
tennis,6,13,380000,3,1,11,2,LOW
cầu lông,0,15,170000,2,0,8,4,LOW
tennis,3,8,370000,12,0,11,4,LOW
bóng đá,0,20,570000,8,0,11,14,MEDIUM
cầu lông,0,11,200000,2,0,6,4,LOW
tennis,6,19,360000,10,1,11,4,MEDIUM
bóng đá,4,17,610000,8,0,14,14,HIGH
pickleball,5,19,230000,3,1,9,6,MEDIUM
pickleball,4,18,320000,9,0,16,8,MEDIUM
pickleball,5,16,220000,3,1,15,2,MEDIUM
bóng đá,6,15,820000,11,1,17,14,MEDIUM
bóng đá,0,20,710000,12,0,13,16,MEDIUM
bóng đá,2,16,810000,6,0,12,14,MEDIUM
pickleball,3,18,230000,2,0,18,4,HIGH
cầu lông,1,11,140000,8,0,6,4,LOW
bóng đá,2,21,660000,4,0,22,18,HIGH
tennis,3,8,390000,6,0,9,2,LOW
pickleball,6,20,260000,5,1,14,8,HIGH
bóng rổ,0,8,490000,9,0,4,10,LOW
pickleball,2,13,270000,5,0,10,2,LOW
tennis,3,15,330000,10,0,9,8,LOW
cầu lông,3,14,180000,3,0,9,4,LOW
bóng rổ,3,14,360000,10,0,11,10,LOW
bóng đá,0,19,570000,3,0,13,14,MEDIUM
pickleball,3,10,220000,12,0,13,2,MEDIUM
bóng rổ,5,18,380000,3,1,17,10,HIGH
bóng đá,3,8,610000,6,0,10,14,MEDIUM
pickleball,1,21,300000,8,0,19,4,HIGH
cầu lông,0,11,180000,10,0,9,2,LOW
tennis,0,17,400000,5,0,11,4,MEDIUM
pickleball,4,6,250000,8,0,7,4,LOW
tennis,3,18,380000,4,0,12,8,MEDIUM
tennis,1,17,440000,10,0,8,8,LOW
pickleball,6,6,300000,1,1,8,4,LOW
cầu lông,2,13,150000,4,0,7,4,LOW
cầu lông,4,6,200000,8,0,9,4,LOW
tennis,3,17,430000,3,0,11,4,MEDIUM
cầu lông,4,17,230000,2,0,14,2,MEDIUM
tennis,5,21,410000,11,1,11,4,MEDIUM
tennis,1,10,400000,6,0,10,4,LOW
cầu lông,1,21,220000,1,0,11,4,MEDIUM
pickleball,0,15,290000,5,0,6,4,LOW
bóng đá,3,18,760000,8,0,14,14,MEDIUM
bóng đá,3,9,710000,8,0,11,14,LOW
bóng đá,1,21,750000,3,0,15,14,MEDIUM
bóng rổ,4,10,360000,9,0,9,10,LOW
bóng đá,3,15,710000,5,0,10,12,MEDIUM
bóng đá,1,20,710000,4,0,16,14,MEDIUM
pickleball,1,10,190000,2,0,7,8,LOW
tennis,3,17,390000,5,0,8,8,MEDIUM
bóng đá,2,19,700000,7,0,12,14,MEDIUM
bóng rổ,5,15,390000,9,1,8,16,LOW
bóng đá,5,16,840000,11,1,16,14,MEDIUM
pickleball,3,18,250000,8,0,15,6,MEDIUM
bóng đá,4,7,570000,11,0,12,18,MEDIUM
bóng đá,3,19,660000,11,0,12,14,MEDIUM
pickleball,2,19,270000,8,0,11,4,MEDIUM
pickleball,3,17,210000,4,0,14,4,MEDIUM
cầu lông,1,20,190000,6,0,14,2,MEDIUM
cầu lông,2,14,190000,4,0,8,4,LOW
pickleball,2,19,240000,1,0,13,4,MEDIUM
tennis,5,14,450000,5,1,12,8,MEDIUM
bóng đá,6,18,650000,9,1,23,12,HIGH
cầu lông,4,9,180000,11,0,10,4,LOW
bóng đá,3,10,580000,8,0,10,14,LOW
pickleball,6,7,310000,7,1,14,4,MEDIUM
pickleball,2,20,220000,10,0,11,4,MEDIUM
bóng đá,0,6,650000,1,0,10,12,LOW
pickleball,2,15,230000,7,0,12,2,MEDIUM
bóng đá,6,18,610000,4,1,20,16,HIGH
bóng đá,1,17,680000,8,0,17,12,HIGH
bóng rổ,2,20,490000,1,0,18,12,HIGH
bóng rổ,4,21,520000,2,0,11,16,MEDIUM
